cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344100910327-6,3.71689719709172,8.06266908153776,8.8,6.426,0.06024,10.36,0.597,1.386,0.623,0,3.23,0.2957,0.06464,1.925,2.396,0.2217,0,0.2754,0,0.7896,1.049,0,8.64,0,3.42,2.6,0.2141,6.535,9.984,4.164,3.754,1.87,9.57,C57BL6J-638850.47
1018093344100910313-6,3.70574378472258,8.04717981183489,8.8,6.434,0.03012,10.32,0.5396,1.086,0.5728,0,3.072,0.2698,0.03232,1.795,2.482,0.1915,0,0.2754,0,0.7534,1.08,0,8.63,0,3.3,2.512,0.2141,6.336,10.02,4.16,3.428,1.98,9.58,C57BL6J-638850.47
1018093344100910330-5,3.72248648821819,8.11640908264573,8.8,6.445,0.06024,10.33,0.6255,1.27,0.572,0,3.08,0.216,0.06464,1.791,2.256,0.2249,0,0.2478,0,0.7954,1.053,0,8.6,0,3.254,2.53,0.2408,6.527,10,4.156,3.557,1.99,9.58,C57BL6J-638850.47
1018093344100910328-7,3.71753061477928,8.09651335268588,8.8,6.41,0.03012,10.305,0.5156,1.266,0.4893,0,2.781,0.1625,0.03232,0.3862,2.234,0.2803,0,0.1927,0.05093,0.7295,1.168,0,8.53,0,2.834,2.277,0.2944,6.21,10.03,4.06,3.094,1.941,9.555,C57BL6J-638850.47
1018093344100910324-5,3.71252662367666,8.08497880697453,8.8,6.273,0.03012,10.4,0.479,0.849,0.5044,0,2.965,0.3562,0.03232,1.7705,2.986,0.2874,0,0.2478,0,0.779,1.149,0,8.51,0,3.28,1.736,0.2428,6.227,9.89,3.867,2.617,1.889,9.414,C57BL6J-638850.47
1018093344100910319-5,3.70913696557289,8.10279504093289,8.8,5.938,0,10.445,0.369,0.833,0.4644,0,2.383,0.3372,0.03506,1.679,2.258,0.354,0,0.2278,0,0.721,1.197,0,8.22,0,3.223,1.82,0.2961,6.133,9.68,3.543,2.326,1.706,9.46,C57BL6J-638850.47
1.0171559561013e+18,3.95272282841787,7.66148346095408,9,6.164,0,10.3,0.522,1.296,0.4722,0,2.225,0.32,0.05762,1.494,2.184,0.3767,0,0.1377,0,0.711,1.219,0,8.375,0,2.777,2.459,0.2676,5.82,9.96,3.777,3.494,2.068,9.56,C57BL6J-638850.48
1.0171559561013e+18,3.78935703865792,7.62294968444371,9,6.297,0,10.41,0.5376,1.413,0.6226,0,3.135,0.3752,0,1.739,2.174,0.2451,0,0.3027,0,0.7656,1.238,0,8.6,0,3.473,2.42,0.2418,6.3,10,3.994,3.26,1.843,9.555,C57BL6J-638850.48
1.01715595610114e+18,3.47578142948734,7.48410278292873,9,6.125,0,10.43,0.3733,1.006,0.4343,0,2.402,0.4312,0.02881,1.519,3.229,0.4048,0,0.1377,0,0.778,1.305,0,8.33,0,2.902,2.08,0.323,5.83,9.9,3.662,2.654,1.942,9.42,C57BL6J-638850.48
1.0171559562013e+18,3.77469223917424,7.61971604324513,9,5.465,0,10.445,0.3408,1.354,0.8745,0,1.76,0.2705,0.03506,0.9644,2.596,0.3464,0,0.0626,0,0.819,0.813,0,7.887,0,3.852,2.193,0.1625,5.863,9.32,2.6,2.781,1.862,9.5,C57BL6J-638850.48
1.0171559561013e+18,3.95572871374829,7.59463042398716,9,6.2,0,10.29,0.5513,1.221,0.4116,0,2.586,0.1082,0,1.818,2.441,0.2605,0,0.2202,0,0.6777,1.097,0,8.46,0,2.879,2.553,0.2676,6.055,9.85,3.982,3.332,1.987,9.59,C57BL6J-638850.48
1.01715595610114e+18,3.45936522149747,7.50805459842049,9,6.316,0.03012,10.36,0.4512,1.098,0.5044,0,3.158,0.2974,0.06464,1.788,2.32,0.1967,0,0.2754,0,0.78,1.224,0,8.54,0,3.305,2.012,0.2418,6.39,9.98,4.086,3.23,2.098,9.484,C57BL6J-638850.48
1.0171559561013e+18,3.98482322215962,7.65011477342613,9,5.08,0.03146,10.016,0.1718,2.541,0.697,0.02922,1.38,0.7007,0.375,1.288,4.35,0.8223,0,0.02753,0,0.956,2.084,0,7.316,0.4832,3.545,2.16,0.3003,5.09,9.266,1.863,2.11,3.14,9.484,C57BL6J-638850.48
