cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344101970262-5,2.99563797384108,7.68351729260955,8.8,8.06,0.7476,9.16,0.63,6.523,0.9883,0.415,2.713,0.587,0.5215,0.733,4.312,0.772,0.04865,0.08905,0.2827,1.131,4.38,0.728,3.73,0.7227,2.668,4.586,2.314,3.576,8.484,6.6,1.193,4.94,7.805,C57BL6J-638850.47
1018093344101960313-2,2.74715759372459,7.85602173741447,8.8,7.902,0.906,8.96,1.017,7.086,1.835,0.537,2.203,0.8716,1.389,0.4463,5.24,1.82,0.07294,0.05228,0.1117,1.097,3.852,0.9272,3.857,0.8076,2.77,4.363,4.047,3.955,8.24,6.402,0.7104,4.31,7.855,C57BL6J-638850.47
1018093344101960346-1,2.71279705554413,7.8044229763031,8.8,8.06,0.8906,9.1,0.8687,7.188,1.624,0.4482,2.232,0.829,1.129,0.3806,4.926,1.502,0.07294,0.02611,0.129,1.054,3.795,0.864,3.885,0.4807,2.904,4.598,3.709,3.48,8.43,6.72,0.5566,4.26,7.734,C57BL6J-638850.47
1018093344101960080-2,3.03211253321045,7.76810776746289,8.8,8.09,0.889,9.09,0.919,7.1,1.62,0.4722,2.229,0.772,1.203,0.4167,5.336,1.537,0.04865,0.02611,0.1278,1.076,3.846,0.9375,3.8,0.842,2.752,4.01,3.652,3.482,8.37,6.62,0.713,4.277,7.75,C57BL6J-638850.47
1018093344102120626-2,2.20259582028885,7.5851919584248,8.8,8.055,0.85,9.11,0.807,7.145,1.803,0.359,2.176,0.821,0.9434,0.3481,4.34,1.282,0.04865,0.02611,0.1569,1.218,3.49,0.5327,3.857,0.4067,3.127,4.71,3.502,3.25,8.57,7.152,0.5327,4.266,7.043,C57BL6J-638850.47
1018093344101960312-1,2.74753260436037,7.8296326756352,8.8,8.04,0.8906,9.14,0.8677,7.082,1.766,0.499,2.424,0.9946,1.031,0.382,4.562,1.25,0.07294,0.05222,0.1504,0.9775,3.809,0.6704,3.896,0.422,3.059,4.715,3.57,3.19,8.49,7.027,0.5415,4.324,7.375,C57BL6J-638850.47
1018093344201960274,2.75690770124412,7.8565914520954,8.8,8.01,0.852,9.09,1,6.77,1.506,0.5117,2.588,1.004,1.245,0.4978,5.42,1.392,0.07294,0.2566,0.2245,1.044,4.195,0.8535,3.719,0.8896,2.535,4.418,3.55,3.402,8.22,6.445,1.183,4.734,8.234,C57BL6J-638850.47
1018093344102120613-2,2.20808638946555,7.66571985539692,8.8,8.14,0.4854,9.34,0.2778,6.715,1.845,0.11804,1.888,0.923,0.459,0.4778,3.473,0.535,0.02432,0.02585,0.2045,1.229,2.809,0.108,4.043,0.1443,3.195,5.426,2.215,3.047,8.63,7.69,0.552,4.18,6.957,C57BL6J-638850.47
1018093344101810336-2,3.12658145008256,7.76567447771194,8.8,8.11,0.692,9.06,0.9014,6.793,1.521,0.4927,2.305,0.985,2.023,0.425,5.81,2.26,0.04865,0.27,0.10944,1.06,4.17,1.246,3.637,1.143,2.385,3.795,3.969,4.2,7.707,5.734,1.018,4.6,8.28,C57BL6J-638850.47
1018093344102120548-2,2.24515421648998,7.57584523023627,8.8,8.125,0.842,9.15,0.859,7.094,1.976,0.4119,2.285,0.9517,1.202,0.373,4.105,1.581,0.04865,0.05222,0.1782,1.065,3.734,0.684,3.64,0.3083,2.857,4.938,3.684,3.268,8.375,6.734,0.4492,4.074,6.848,C57BL6J-638850.47
1018093344101970519-2,2.80949981813898,7.61406811970856,8.8,8.17,0.7534,9.234,0.651,7.242,1.616,0.3547,2.465,0.7295,1.037,0.4668,5.594,1.256,0.07294,0.1685,0.1963,1.049,4.027,0.74,3.35,0.7397,2.51,4.164,3.084,2.986,8.39,6.727,0.7246,4.305,7.96,C57BL6J-638850.47
1018093344102120550-3,2.24032054285058,7.65659131707063,8.8,8.25,0.6504,9.38,0.4866,6.87,2.049,0.1929,2.291,0.8374,0.763,0.3943,3.75,0.6733,0.04865,0.0732,0.2435,1.32,3.36,0.1722,3.783,0.1407,3.078,5.113,2.57,2.797,8.61,7.82,0.4749,4.086,6.94,C57BL6J-638850.47
1018093344101960302-2,2.75688062990374,7.87153143854757,8.8,8.09,0.824,9.11,0.928,7.098,1.831,0.461,2.627,0.8955,1.231,0.3599,4.676,1.622,0.07294,0.1094,0.1718,1.183,3.77,0.736,3.445,0.542,2.8,4.71,3.533,3.39,8.336,6.727,0.6016,4.316,7.305,C57BL6J-638850.47
1018093344101960351-3,2.70520698302342,7.82687834189552,8.8,8.08,0.7793,9.09,0.9023,6.71,1.508,0.4663,2.363,0.963,1.432,0.5176,5.727,1.565,0.07294,0.3528,0.1628,1.152,4.23,1.117,3.725,1.108,2.299,3.896,3.375,3.62,7.996,6.01,1.024,4.625,8.27,C57BL6J-638850.47
1018093344101960348-2,2.71211449965114,7.86099680048142,8.8,8.086,0.6074,9.23,0.576,7.27,1.995,0.283,2.451,0.794,1.186,0.466,5.273,1.424,0.04865,0.386,0.2001,1.103,3.49,0.4211,2.926,0.5317,2.465,4.402,2.887,2.752,8.08,6.902,0.603,3.979,7.754,C57BL6J-638850.47
1018093344102120609-2,2.20883397446557,7.65517365608352,8.8,8.15,0.5356,9.37,0.3643,6.76,1.659,0.1322,2.014,0.876,0.393,0.516,3.24,0.6357,0.02432,0,0.173,1.152,2.96,0.10156,4.04,0.0542,3.184,5.703,2.432,2.965,8.72,7.637,0.4358,4.246,6.816,C57BL6J-638850.47
1018093344101960386-1,2.66353655347907,7.83876979114771,8.8,8.15,0.8335,9.14,0.9697,7.332,1.992,0.483,2.445,0.952,1.473,0.2678,4.86,1.8955,0.04865,0.05222,0.1718,1.047,3.803,0.855,3.451,0.596,2.627,4.16,3.873,3.514,8.21,6.438,0.621,4.047,7.137,C57BL6J-638850.47
